Year,Cost_No_Sys_Annual,Cost_No_Sys_Cumulative,PV_Production_kWh,Export_kWh,Degradation_Factor,Cost_Import,Revenue_Export,Cost_Operation,Cost_Daily,Cost_Replacement,Cost_System_Annual,Cost_System_Cumulative,Cost_No_Sys_Annual_NPV,Cost_System_Annual_NPV,Cost_No_Sys_Cumulative_NPV,Cost_System_Cumulative_NPV,Savings_Cumulative,Savings_Cumulative_NPV
1,1009.2395055300001,1009.2395055300001,2771.6588933886605,588.5029958726344,1.0,515.0008583077944,35.31017975235806,50.0,109.5,0.0,639.1906785554363,6202.616678555436,1009.2395055300001,639.1906785554363,1009.2395055300001,6202.616678555436,-5193.377173025436,-5193.377173025436
2,1029.4242956406001,2038.6638011706002,2757.800598921717,598.1265926145745,0.995,529.4191877048905,35.88759555687447,51.0,111.69,0.0,656.221592148016,6858.838270703452,1029.4242956406001,656.221592148016,2038.6638011706002,6858.838270703452,-4820.174469532852,-4820.174469532852
3,1050.012781553412,3088.6765827240124,2744.011595927108,603.2583002013603,0.990025,543.3858283558905,36.195498012081615,52.019999999999996,113.9238,0.0,673.1341303438089,7531.972401047261,1050.012781553412,673.1341303438089,3088.6765827240124,7531.972401047261,-4443.295818323249,-4443.295818323249
4,1071.0130371844805,4159.689619908493,2730.291537947473,606.4802717073737,0.985074875,557.3443335856124,36.38881630244242,53.06040000000001,116.20227600000001,0.0,690.2181932831699,8222.19059433043,1071.0130371844805,690.2181932831699,4159.689619908493,8222.19059433043,-4062.500974421937,-4062.500974421937
5,1092.4332979281698,5252.122917836663,2716.640080257735,608.4992212241609,0.980149500625,571.4082864606256,36.50995327344965,54.121608,118.52632152,0.0,707.546262707176,8929.736857037606,1092.4332979281698,707.546262707176,5252.122917836663,8929.736857037606,-3677.6139392009427,-3677.6139392009427
6,1114.2819638867334,6366.404881723396,2703.056879856447,609.6866082344584,0.975248753121875,585.6380388858555,36.581196494067505,55.20404016,120.8968479504,0.0,725.157730502188,9654.894587539795,1114.2819638867334,725.157730502188,6366.404881723396,9654.894587539795,-3288.489705816399,-3288.489705816399
7,1136.567603164468,7502.972484887864,2689.5415954571645,610.2819114376396,0.9703725093562656,600.085172595552,36.616914686258376,56.308120963200004,123.314784909408,0.0,743.0911637819016,10397.985751321696,1136.567603164468,743.0911637819016,7502.972484887864,10397.985751321696,-2895.0132664338316,-2895.0132664338316
8,1159.2989552277575,8662.27144011562,2676.0938874798785,610.4202087616193,0.9655206468094842,614.7687833175996,36.62521252569716,57.434283382464,125.78108060759617,0.0,761.3589347819626,11159.344686103657,1159.2989552277575,761.3589347819626,8662.27144011562,11159.344686103657,-2497.0732459880364,-2497.0732459880364
9,1182.4849343323126,9844.756374447934,2662.713418042479,610.1836221079687,0.9606930435754368,629.7131706206045,36.61101732647813,58.582969050113284,128.2967022197481,0.0,779.9818245639879,11939.326510667646,1182.4849343323126,779.9818245639879,9844.756374447934,11939.326510667646,-2094.5701362197124,-2094.5701362197124
10,1206.134633018959,11050.891007466893,2649.3998509522667,609.6288977818222,0.9558895783575596,644.9312915626143,36.57773386690933,59.754628431115556,130.86263626414305,0.0,798.9708223909636,12738.29733305861,1206.134633018959,798.9708223909636,11050.891007466893,12738.29733305861,-1687.4063255917172,-1687.4063255917172
11,1230.2573256793382,12281.148333146231,2636.1528516975054,608.8193551852931,0.9511101304657719,660.4387011995459,36.52916131111759,60.94972099973786,133.47988898942592,0.0,818.3391498775921,13556.636482936203,1230.2573256793382,818.3391498775921,12281.148333146231,13556.636482936203,-1275.4881497899714,-1275.4881497899714
12,1254.862472192925,13536.010805339156,2622.9720874390173,607.7876619671199,0.946354579813443,676.2444832657924,36.467259718027194,62.16871541973262,136.14948676921443,0.0,838.0954257367123,14394.731908672915,1254.862472192925,838.0954257367123,13536.010805339156,14394.731908672915,-858.721103333759,-858.721103333759
13,1279.9597216367833,14815.97052697594,2609.8572270018226,606.5813007180311,0.9416228069143757,692.3686707807548,36.39487804308187,63.41208972812728,138.87247650459872,0.0,858.2583589703988,15252.990267643314,1279.9597216367833,858.2583589703988,14815.97052697594,15252.990267643314,-437.0197406673742,-437.0197406673742
14,1305.5589160695192,16121.52944304546,2596.807940866814,605.2013933487896,0.9369146928798039,708.8160728891487,36.31208360092737,64.68033152268983,141.6499260346907,0.0,878.8342468456018,16131.824514488915,1305.5589160695192,878.8342468456018,16121.52944304546,16131.824514488915,-10.295071443455527,-10.295071443455527
15,1331.6700943909095,17453.19953743637,2583.8239011624796,472.2189787707165,0.9322301194154049,695.4278842294809,28.33313872624299,65.97393815314362,144.48292455538453,3752.597602150809,4630.149210362575,20761.97372485149,1331.6700943909095,4630.149210362575,17453.19953743637,20761.97372485149,-3308.7741874151216,-3308.7741874151216
16,1358.3034962787276,18811.503033715097,2570.904781656667,467.64712980451566,0.9275689688183278,711.8076316993904,28.05882778827094,67.2934169162065,147.37258304649222,0.0,898.4148038738182,21660.388528725307,1358.3034962787276,898.4148038738182,18811.503033715097,21660.388528725307,-2848.8854950102104,-2848.8854950102104
17,1385.4695662043023,20196.972599919398,2558.0502577483835,473.0688251259995,0.9229311239742362,730.3549146836707,28.38412950755997,68.63928525453062,150.32003470742205,0.0,920.9301051380635,22581.31863386337,1385.4695662043023,920.9301051380635,20196.972599919398,22581.31863386337,-2384.3460339439735,-2384.3460339439735
18,1413.1789575283883,21610.151557447785,2545.2600064596418,476.58730687413544,0.918316468354365,748.887736037272,28.595238412448126,70.01207095962124,153.3264354015705,0.0,943.6310039860157,23524.949637849386,1413.1789575283883,943.6310039860157,21610.151557447785,23524.949637849386,-1914.7980804016006,-1914.7980804016006
19,1441.4425366789562,23051.59409412674,2532.533706427343,478.94656566440773,0.9137248860125932,767.5693180281796,28.736793939864462,71.41231237881367,156.39296410960193,0.0,966.6378005767308,24491.587438426115,1441.4425366789562,966.6378005767308,23051.59409412674,24491.587438426115,-1439.9933442993752,-1439.9933442993752
20,1470.2713874125352,24521.865481539277,2519.871037895207,480.5039837044649,0.9091562615825302,786.4818006376478,28.83023902226789,72.84055862638994,159.52082339179395,0.0,990.0129436335637,25481.600382059678,1470.2713874125352,990.0129436335637,24521.865481539277,25481.600382059678,-959.7349005204014,-959.7349005204014
