Year,Cost_No_Sys_Annual,Cost_No_Sys_Cumulative,PV_Production_kWh,Export_kWh,Degradation_Factor,Cost_Import,Revenue_Export,Cost_Operation,Cost_Daily,Cost_Replacement,Cost_System_Annual,Cost_System_Cumulative,Cost_No_Sys_Annual_NPV,Cost_System_Annual_NPV,Cost_No_Sys_Cumulative_NPV,Cost_System_Cumulative_NPV,Savings_Cumulative,Savings_Cumulative_NPV
1,1858.993482975,1858.993482975,2771.6588933886605,588.5029958726344,1.0,1001.3905578207113,48.25724566155603,75.0,109.5,0.0,1137.6333121591551,7369.809312159155,1858.993482975,1137.6333121591551,1858.993482975,7369.809312159155,-5510.815829184155,-5510.815829184155
2,1896.1733526345001,3755.1668356095,2757.800598921717,598.1265926145745,0.995,1029.426198315065,49.04638059439511,76.5,111.69,0.0,1168.56981772067,8538.379129879824,1896.1733526345001,1168.56981772067,3755.1668356095,8538.379129879824,-4783.2122942703245,-4783.2122942703245
3,1934.09681968719,5689.263655296691,2744.011595927108,603.2583002013603,0.990025,1056.5835551364537,49.46718061651154,78.03,113.9238,0.0,1199.0701745199422,9737.449304399766,1934.09681968719,1199.0701745199422,5689.263655296691,9737.449304399766,-4048.185649103076,-4048.185649103076
4,1972.778756080934,7662.042411377624,2730.291537947473,606.4802717073737,0.985074875,1083.725093083135,49.731382280004645,79.59060000000001,116.20227600000001,0.0,1229.7865868031304,10967.235891202898,1972.778756080934,1229.7865868031304,7662.042411377624,10967.235891202898,-3305.1934798252732,-3305.1934798252732
5,2012.2343312025525,9674.276742580178,2716.640080257735,608.4992212241609,0.980149500625,1111.0716681178833,49.8969361403812,81.182412,118.52632152,0.0,1260.883465497502,12228.1193567004,2012.2343312025525,1260.883465497502,9674.276742580178,12228.1193567004,-2553.8426141202217,-2553.8426141202217
6,2052.4790178266035,11726.75576040678,2703.056879856447,609.6866082344584,0.975248753121875,1138.7406311669413,49.99430187522559,82.80606024000001,120.8968479504,0.0,1292.4492374821157,13520.568594182514,2052.4790178266035,1292.4492374821157,11726.75576040678,13520.568594182514,-1793.8128337757335,-1793.8128337757335
7,2093.5285981831357,13820.284358589917,2689.5415954571645,610.2819114376396,0.9703725093562656,1166.8322800469066,50.04311673788644,84.46218144480001,123.314784909408,0.0,1324.5661296632281,14845.134723845744,2093.5285981831357,1324.5661296632281,13820.284358589917,14845.134723845744,-1024.8503652558265,-1024.8503652558265
8,2135.3991701467985,15955.683528736716,2676.0938874798785,610.4202087616193,0.9655206468094842,1195.383745339777,50.05445711845278,86.151425073696,125.78108060759617,0.0,1357.2617939026163,16202.39651774836,2135.3991701467985,1357.2617939026163,15955.683528736716,16202.39651774836,-246.71298901164482,-246.71298901164482
9,2178.1071535497344,18133.79068228645,2662.713418042479,610.1836221079687,0.9606930435754368,1224.4422762067309,50.035057012853436,87.87445357516994,128.2967022197481,0.0,1390.5783749887955,17592.974892737155,2178.1071535497344,1390.5783749887955,18133.79068228645,17592.974892737155,540.815789549295,540.815789549295
10,2221.6692966207293,20355.45997890718,2649.3998509522667,609.6288977818222,0.9558895783575596,1254.0330669273055,49.98956961810942,89.63194264667332,130.86263626414305,0.0,1424.5380762200123,19017.51296895717,2221.6692966207293,1424.5380762200123,20355.45997890718,19017.51296895717,1337.9470099500104,1337.9470099500104
11,2266.102682553144,22621.562661460324,2636.1528516975054,608.8193551852931,0.9511101304657719,1284.1863634435613,49.92318712519404,91.4245814996068,133.47988898942592,0.0,1459.1676468074,20476.68061576457,2266.102682553144,1459.1676468074,22621.562661460324,20476.68061576457,2144.8820456957546,2144.8820456957546
12,2311.424736204207,24932.987397664532,2622.9720874390173,607.7876619671199,0.946354579813443,1314.9198285723742,49.838588281303835,93.25307312959893,136.14948676921443,0.0,1494.4838001898838,21971.164415954452,2311.424736204207,1494.4838001898838,24932.987397664532,21971.164415954452,2961.82298171008,2961.82298171008
13,2357.6532309282907,27290.640628592824,2609.8572270018226,606.5813007180311,0.9416228069143757,1346.272415407023,49.739666658878555,95.11813459219091,138.87247650459872,0.0,1530.523359844934,23501.687775799386,2357.6532309282907,1530.523359844934,27290.640628592824,23501.687775799386,3788.952852793438,3788.952852793438
