Year,Cost_No_Sys_Annual,Cost_No_Sys_Cumulative,PV_Production_kWh,Export_kWh,Degradation_Factor,Cost_Import,Revenue_Export,Cost_Operation,Cost_Daily,Cost_Replacement,Cost_System_Annual,Cost_System_Cumulative,Cost_No_Sys_Annual_NPV,Cost_System_Annual_NPV,Cost_No_Sys_Cumulative_NPV,Cost_System_Cumulative_NPV,Savings_Cumulative,Savings_Cumulative_NPV
1,1859.1208147998846,1859.1208147998846,2771.6588933886605,536.725660483968,1.0,982.9405718677053,44.01150415968538,75.0,109.5,0.0,1123.4290677080198,7355.605067708019,1859.1208147998846,1123.4290677080198,1859.1208147998846,7355.605067708019,-5496.484252908134,-5496.484252908134
2,1896.3032310958822,3755.4240458957665,2757.800598921717,545.2775293248892,0.995,1010.2524244225624,44.71275740464092,76.5,111.69,0.0,1153.7296670179217,8509.33473472594,1896.3032310958822,1153.7296670179217,3755.4240458957665,8509.33473472594,-4753.910688830174,-4753.910688830174
3,1934.2292957178,5689.653341613566,2744.011595927108,549.7530190730947,0.990025,1036.8086214374748,45.07974756399377,78.03,113.9238,0.0,1183.682673873481,9693.017408599422,1934.2292957178,1183.682673873481,5689.653341613566,9693.017408599422,-4003.364066985856,-4003.364066985856
4,1972.913881632156,7662.567223245722,2730.291537947473,552.4196614235325,0.985074875,1063.3541017505893,45.29841223672967,79.59060000000001,116.20227600000001,0.0,1213.8485655138597,10906.865974113281,1972.913881632156,1213.8485655138597,7662.567223245722,10906.865974113281,-3244.2987508675596,-3244.2987508675596
5,2012.372159264799,9674.939382510522,2716.640080257735,553.9810744456834,0.980149500625,1090.1279480002813,45.42644810454604,81.182412,118.52632152,0.0,1244.4102334157353,12151.276207529016,2012.372159264799,1244.4102334157353,9674.939382510522,12151.276207529016,-2476.336825018494,-2476.336825018494
6,2052.619602450095,11727.558984960617,2703.056879856447,554.7782322764091,0.975248753121875,1117.2462831370096,45.49181504666555,82.80606024000001,120.8968479504,0.0,1275.457376280744,13426.73358380976,2052.619602450095,1275.457376280744,11727.558984960617,13426.73358380976,-1699.1745988491439,-1699.1745988491439
7,2093.671994499097,13821.230979459713,2689.5415954571645,555.0129298015429,0.9703725093562656,1144.770887461345,45.51106024372652,84.46218144480001,123.314784909408,0.0,1307.0367935718266,14733.770377381587,2093.671994499097,1307.0367935718266,13821.230979459713,14733.770377381587,-912.5393979218734,-912.5393979218734
8,2135.5454343890788,15956.776413848791,2676.0938874798785,554.814915216405,0.9655206468094842,1172.7570302809493,45.49482304774521,86.151425073696,125.78108060759617,0.0,1339.194712914496,16072.965090296082,2135.5454343890788,1339.194712914496,15956.776413848791,16072.965090296082,-116.18867644729107,-116.18867644729107
9,2178.2563430768605,18135.03275692565,2662.713418042479,554.2827175868873,0.9606930435754368,1201.2534833388836,45.45118284212476,87.87445357516994,128.2967022197481,0.0,1371.973456291677,17444.938546587757,2178.2563430768605,1371.973456291677,18135.03275692565,17444.938546587757,690.0942103378948,690.0942103378948
10,2221.821469938398,20356.85422686405,2649.3998509522667,553.4652377749828,0.9558895783575596,1230.2781529564263,45.38414949754859,89.63194264667332,130.86263626414305,0.0,1405.388582369694,18850.327128957455,2221.821469938398,1405.388582369694,20356.85422686405,18850.327128957455,1506.5270979065936,1506.5270979065936
11,2266.257899337166,22623.112126201213,2636.1528516975054,552.4043274540494,0.9511101304657719,1259.8570869501455,45.29715485123205,91.4245814996068,133.47988898942592,0.0,1439.464402587946,20289.7915315454,2266.257899337166,1439.464402587946,22623.112126201213,20289.7915315454,2333.320594655812,2333.320594655812
12,2311.583057323909,24934.695183525124,2622.9720874390173,551.1569345904873,0.946354579813443,1290.0250016015652,45.194868636419955,93.25307312959893,136.14948676921443,0.0,1474.2326928639588,21764.02422440936,2311.583057323909,1474.2326928639588,24934.695183525124,21764.02422440936,3170.6709591157633,3170.6709591157633
13,2357.8147184703876,27292.509901995512,2609.8572270018226,549.7642431312669,0.9416228069143757,1320.8008189768777,45.08066793676389,95.11813459219091,138.87247650459872,0.0,1509.7107621369037,23273.734986546264,2357.8147184703876,1509.7107621369037,27292.509901995512,23273.734986546264,4018.7749154492485,4018.7749154492485
14,2404.9710128397955,29697.48091483531,2596.807940866814,548.2399990803129,0.9369146928798039,1352.2084550171633,44.95567992458566,97.02049728403475,141.6499260346907,0.0,1545.923198411303,24819.658184957567,2404.9710128397955,1545.923198411303,29697.48091483531,24819.658184957567,4877.822729877742,4877.822729877742
15,2453.070433096591,32150.551347931898,2583.8239011624796,448.7791139798886,0.9322301194154049,1340.2848322101174,36.79988734635087,98.96090722971543,144.48292455538453,3752.597602150809,5299.5263787996755,30119.18456375724,2453.070433096591,5299.5263787996755,32150.551347931898,30119.18456375724,2031.3667841746574,2031.3667841746574
16,2502.131841758523,34652.68318969042,2570.904781656667,420.6184576690919,0.9275689688183278,1361.397782273819,34.49071352886554,100.94012537430974,147.37258304649222,0.0,1575.2197771657554,31694.404340922996,2502.131841758523,1575.2197771657554,34652.68318969042,31694.404340922996,2958.2788487674225,2958.2788487674225
