Year,PV_Production_kWh,Load_kWh,Import_kWh,Export_kWh,Grid_Independence_%,Battery_SOH_%,Replacements,Replacement_Cost,PV_Degradation_Factor
1,2771.6588933886605,4998.916613713956,2808.40163390773,536.725660483968,43.81979434897551,94.60495158467207,0,0.0,1.0
2,2757.800598921717,4998.916613713956,2829.838723872724,545.2775293248892,43.39095963094513,91.5857483689864,0,0.0,0.995
3,2744.011595927108,4998.916613713956,2847.280225840267,549.7530190730947,43.042053991677335,89.08084825928711,0,0.0,0.990025
4,2730.291537947473,4998.916613713956,2862.920913176545,552.4196614235325,42.729172450637634,86.85952140934661,0,0.0,0.985074875
5,2716.640080257735,4998.916613713956,2877.456338696371,553.9810744456834,42.43840093666699,84.82721395333374,0,0.0,0.980149500625
6,2703.056879856447,4998.916613713956,2891.2125165861353,554.7782322764091,42.16321775293422,82.9335880143629,0,0.0,0.975248753121875
7,2689.5415954571645,4998.916613713956,2904.3536777873264,555.0129298015429,41.90033756875312,81.14784340463731,0,0.0,0.9703725093562656
8,2676.0938874798785,4998.916613713956,2917.0159135774466,554.814915216405,41.64703796868812,79.44942557627928,0,0.0,0.9655206468094842
9,2662.713418042479,4998.916613713956,2929.3093753951953,554.2827175868873,41.401115446515554,77.8237839794118,0,0.0,0.9606930435754368
10,2649.3998509522667,4998.916613713956,2941.262065641078,553.4652377749828,41.16200983284934,76.26012754521938,0,0.0,0.9558895783575596
11,2636.1528516975054,4998.916613713956,2952.918912472049,552.4043274540494,40.928822369810014,74.75016487859213,0,0.0,0.9511101304657719
12,2622.9720874390173,4998.916613713956,2964.3412236982867,551.1569345904873,40.700326635456264,73.28736948672802,0,0.0,0.946354579813443
13,2609.8572270018226,4998.916613713956,2975.549805902659,549.7642431312669,40.47610640794491,71.86651187500462,0,0.0,0.9416228069143757
14,2596.807940866814,4998.916613713956,2986.574618332908,548.2399990803129,40.255562372463224,70.48326162088696,0,0.0,0.9369146928798039
15,2583.8239011624796,4998.916613713956,2902.1954290472972,448.7791139798886,41.94351189844904,95.81730695434896,1,2844.0,0.9322301194154049
16,2570.904781656667,4998.916613713956,2890.1103017232863,420.6184576690919,42.185266827724256,92.49799924488735,0,0.0,0.9275689688183278
17,2558.0502577483835,4998.916613713956,2907.0782955268073,425.51278852110556,41.8458334041506,89.87263160906879,0,0.0,0.9229311239742362
18,2545.2600064596418,4998.916613713956,2922.168272759176,428.50403372793505,41.5439684522334,87.58409715429872,0,0.0,0.918316468354365
19,2532.533706427343,4998.916613713956,2936.183393040737,430.43816859881287,41.26360529828297,85.50892158287155,0,0.0,0.9137248860125932
20,2519.871037895207,4998.916613713956,2949.457154782798,431.6439717969313,40.99807252852949,83.58592558112379,0,0.0,0.9091562615825302
