Year,Cost_No_Sys_Annual,Cost_No_Sys_Cumulative,PV_Production_kWh,Export_kWh,Degradation_Factor,Cost_Import,Revenue_Export,Cost_Operation,Cost_Daily,Cost_Replacement,Cost_System_Annual,Cost_System_Cumulative,Cost_No_Sys_Annual_NPV,Cost_System_Annual_NPV,Cost_No_Sys_Cumulative_NPV,Cost_System_Cumulative_NPV,Savings_Cumulative,Savings_Cumulative_NPV
1,1009.3049904685121,1009.3049904685121,2771.6588933886605,536.725660483968,1.0,505.51229410339135,32.203539629038076,50.0,109.5,0.0,632.8087544743532,6196.2347544743525,1009.3049904685121,632.8087544743532,1009.3049904685121,6196.2347544743525,-5186.92976400584,-5186.92976400584
2,1029.4910902778822,2038.7960807463942,2757.800598921717,545.2775293248892,0.995,519.5583897030322,32.71665175949335,51.0,111.69,0.0,649.5317379435389,6845.766492417892,1029.4910902778822,649.5317379435389,2038.7960807463942,6845.766492417892,-4806.9704116714975,-4806.9704116714975
3,1050.08091208344,3088.8769928298343,2744.011595927108,549.7530190730947,0.990025,533.2158624535584,32.985181144385685,52.019999999999996,113.9238,0.0,666.1744813091727,7511.940973727064,1050.08091208344,666.1744813091727,3088.8769928298343,7511.940973727064,-4423.06398089723,-4423.06398089723
4,1071.082530325109,4159.959523154943,2730.291537947473,552.4196614235325,0.985074875,546.867823757446,33.14517968541195,53.06040000000001,116.20227600000001,0.0,682.985320072034,8194.926293799099,1071.082530325109,682.985320072034,4159.959523154943,8194.926293799099,-4034.966770644156,-4034.966770644156
5,1092.504180931611,5252.463704086554,2716.640080257735,553.9810744456834,0.980149500625,560.6372304001447,33.238864466741,54.121608,118.52632152,0.0,700.0462954534038,8894.972589252502,1092.504180931611,700.0462954534038,5252.463704086554,8894.972589252502,-3642.5088851659484,-3642.5088851659484
6,1114.3542645502432,6366.817968636797,2703.056879856447,554.7782322764091,0.975248753121875,574.5838027561764,33.28669393658454,55.20404016,120.8968479504,0.0,717.3979969299918,9612.370586182493,1114.3542645502432,717.3979969299918,6366.817968636797,9612.370586182493,-3245.552617545696,-3245.552617545696
7,1136.641349841248,7503.459318478044,2689.5415954571645,555.0129298015429,0.9703725093562656,588.7393135515489,33.30077578809257,56.308120963200004,123.314784909408,0.0,735.0614436360644,10347.43202981856,1136.641349841248,735.0614436360644,7503.459318478044,10347.43202981856,-2843.972711340515,-2843.972711340515
8,1159.374176838073,8662.833495316117,2676.0938874798785,554.814915216405,0.9655206468094842,603.1321870016311,33.2888949129843,57.434283382464,125.78108060759617,0.0,753.058656078707,11100.490685897264,1159.374176838073,753.058656078707,8662.833495316117,11100.490685897264,-2437.657190581147,-2437.657190581147
9,1182.5616603748347,9845.395155690952,2662.713418042479,554.2827175868873,0.9606930435754368,617.7875057171402,33.25696305521324,58.582969050113284,128.2967022197481,0.0,771.4102139317885,11871.900899829054,1182.5616603748347,771.4102139317885,9845.395155690952,11871.900899829054,-2026.5057441381014,-2026.5057441381014
10,1206.2128935823312,11051.608049273284,2649.3998509522667,553.4652377749828,0.9558895783575596,632.7144786633049,33.20791426649897,59.754628431115556,130.86263626414305,0.0,790.1238290920645,12662.024728921118,1206.2128935823312,790.1238290920645,11051.608049273284,12662.024728921118,-1610.4166796478348,-1610.4166796478348
