Year,PV_Production_kWh,Load_kWh,Import_kWh,Export_kWh,Grid_Independence_%,Battery_SOH_%,Replacements,Replacement_Cost,PV_Degradation_Factor
1,2718.201373216225,4998.916613713956,2804.6388907828814,480.73754758927475,43.89506552102359,94.64733287003818,0,0.0,1.0
2,2704.6103663501435,4998.916613713956,2825.13501011766,488.59345293233594,43.48505429421997,91.6482577576286,0,0.0,0.995
3,2691.087314518393,4998.916613713956,2841.788990320901,492.49272315810305,43.15190250373896,89.15932110004505,0,0.0,0.990025
4,2677.631877945801,4998.916613713956,2856.83699804812,494.7908977439437,42.8508771238409,86.9517784356318,0,0.0,0.985074875
5,2664.2437185560716,4998.916613713956,2870.8803499359674,496.0816744668569,42.56994921539528,84.93184154720795,0,0.0,0.980149500625
6,2650.9224999632916,4998.916613713956,2884.2014876936505,496.6634283634768,42.303468719978774,83.04955739540245,0,0.0,0.975248753121875
7,2637.6678874634745,4998.916613713956,2896.9688166625615,496.7674716555141,42.048066800813224,81.2744003292594,0,0.0,0.9703725093562656
8,2624.4795480261573,4998.916613713956,2909.2960537826625,496.47430534959074,41.801468626195096,79.58598315910508,0,0.0,0.9655206468094842
9,2611.357150286027,4998.916613713956,2921.287350656559,495.88692065832447,41.56159071262879,77.9698547656834,0,0.0,0.9606930435754368
10,2598.3003645345966,4998.916613713956,2932.970178604185,495.0343930241915,41.32788351464162,76.41529845216981,0,0.0,0.9558895783575596
11,2585.3088627119237,4998.916613713956,2944.3664593547674,493.95337594761037,41.09990850262966,74.91412596573359,0,0.0,0.9511101304657719
12,2572.382318398364,4998.916613713956,2955.5125101500084,492.68242559627026,40.87693917434234,73.45981856982013,0,0.0,0.946354579813443
13,2559.520406806372,4998.916613713956,2966.446381582873,491.2409756254207,40.658214352990676,72.0471648441981,0,0.0,0.9416228069143757
14,2546.7228047723406,4998.916613713956,2977.178087649933,489.65246696544375,40.44353371523771,70.67186972614414,0,0.0,0.9369146928798039
15,2533.989190748479,4998.916613713956,2923.116480680506,422.5816401816796,41.525000183814434,96.43436230106909,1,2844.0,0.9322301194154049
16,2521.3192447947363,4998.916613713956,2887.9350616494016,370.2051458808798,42.228781057745955,92.96371123062578,0,0.0,0.9275689688183278
17,2508.7126485707627,4998.916613713956,2904.5265405825003,374.9458102643369,41.89687956357856,90.29401831193839,0,0.0,0.9229311239742362
18,2496.1690853279083,4998.916613713956,2919.1065448401814,377.66054994845797,41.605216281624976,87.98601046222619,0,0.0,0.918316468354365
19,2483.688239901269,4998.916613713956,2932.6332140105583,379.2969718110616,41.33462426708191,85.90153433919234,0,0.0,0.9137248860125932
20,2471.2697987017623,4998.916613713956,2945.414096047244,380.2400400744686,41.078951227815296,83.97446223863346,0,0.0,0.9091562615825302
