Year,PV_Production_kWh,Load_kWh,Import_kWh,Export_kWh,Grid_Independence_%,Battery_SOH_%,Replacements,Replacement_Cost,PV_Degradation_Factor
1,2771.6588933886605,4998.5528085000005,2861.1158794877465,588.5029958726344,42.7611152847592,94.55815193604397,0,0.0,1.0
2,2757.800598921717,4998.5528085000005,2883.5467739917785,598.1265926145745,42.312367509885476,91.51677727801837,0,0.0,0.995
3,2744.011595927108,4998.5528085000005,2901.58607990458,603.2583002013603,41.951476936075274,88.99420741830436,0,0.0,0.990025
4,2730.291537947473,4998.5528085000005,2917.766742060894,606.4802717073737,41.62776999976364,86.75763234748416,0,0.0,0.985074875
5,2716.640080257735,4998.5528085000005,2932.738510223873,608.4992212241609,41.32824794334925,84.71165543268322,0,0.0,0.980149500625
6,2703.056879856447,4998.5528085000005,2946.8356401516094,609.6866082344584,41.04622371618165,82.80545150209832,0,0.0,0.975248753121875
7,2689.5415954571645,4998.5528085000005,2960.324778550622,610.2819114376396,40.7763628401282,81.00798077706361,0,0.0,0.9703725093562656
8,2676.0938874798785,4998.5528085000005,2973.2956767290448,610.4202087616193,40.51686976932647,79.29853243448312,0,0.0,0.9655206468094842
9,2662.713418042479,4998.5528085000005,2985.8562652015653,610.1836221079687,40.26558526851732,77.6624266706471,0,0.0,0.9606930435754368
10,2649.3998509522667,4998.5528085000005,2998.0536352281792,609.6288977818222,40.02156723982166,76.08875403595344,0,0.0,0.9558895783575596
11,2636.1528516975054,4998.5528085000005,3009.943142782239,608.8193551852931,39.78370824323684,74.56917944274983,0,0.0,0.9511101304657719
12,2622.9720874390173,4998.5528085000005,3021.546907118985,607.7876619671199,39.551565765577834,73.09713127310438,0,0.0,0.946354579813443
13,2609.8572270018226,4998.5528085000005,3032.9331772064866,606.5813007180311,39.323774432291536,71.66730366146062,0,0.0,0.9416228069143757
14,2596.807940866814,4998.5528085000005,3044.099325793483,605.2013933487896,39.100386803616125,70.2753621993483,0,0.0,0.9369146928798039
15,2583.8239011624796,4998.5528085000005,2928.041249221111,472.2189787707165,41.42222036262177,95.20148357489182,1,2844.0,0.9322301194154049
16,2570.904781656667,4998.5528085000005,2938.241973727165,467.64712980451566,41.21814680579733,92.01485068308148,0,0.0,0.9275689688183278
17,2558.0502577483835,4998.5528085000005,2955.6887784829814,473.0688251259995,40.86910968597039,89.43412454901333,0,0.0,0.9229311239742362
18,2545.2600064596418,4998.5528085000005,2971.2643587052357,476.58730687413544,40.55750789203179,87.16660364459676,0,0.0,0.918316468354365
19,2532.533706427343,4998.5528085000005,2985.6714108522206,478.94656566440773,40.269283425892596,85.10222662903999,0,0.0,0.9137248860125932
20,2519.871037895207,4998.5528085000005,2999.2516664286127,480.5039837044649,39.997599678682825,83.18457932139441,0,0.0,0.9091562615825302
