Year,Cost_No_Sys_Annual,Cost_No_Sys_Cumulative,PV_Production_kWh,Export_kWh,Degradation_Factor,Cost_Import,Revenue_Export,Cost_Operation,Cost_Daily,Cost_Replacement,Cost_System_Annual,Cost_System_Cumulative,Cost_No_Sys_Annual_NPV,Cost_System_Annual_NPV,Cost_No_Sys_Cumulative_NPV,Cost_System_Cumulative_NPV,Savings_Cumulative,Savings_Cumulative_NPV
1,1009.39906518,1009.39906518,4136.402297397087,1233.7042106829538,1.0,388.723700412045,74.02225264097723,50.0,109.5,0.0,474.20144777106776,6037.627447771068,1009.39906518,474.20144777106776,1009.39906518,6037.627447771068,-5028.228382591067,-5028.228382591067
2,1029.5870464836,2038.9861116636,4115.720285910101,1251.1048002391728,0.995,403.1462232915411,75.06628801435036,51.0,111.69,0.0,490.76993527719077,6528.397383048258,1029.5870464836,490.76993527719077,2038.9861116636,6528.397383048258,-4489.411271384658,-4489.411271384658
3,1050.178787413272,3089.1648990768717,4095.14168448055,1259.6906642001975,0.990025,416.39835177703276,75.58143985201184,52.019999999999996,113.9238,0.0,506.7607119250209,7035.158094973279,1050.178787413272,506.7607119250209,3089.1648990768717,7035.158094973279,-3945.993195896407,-3945.993195896407
4,1071.1823631615375,4160.347262238409,4074.665976058148,1264.7732786645568,0.985074875,429.36419042796956,75.8863967198734,53.06040000000001,116.20227600000001,0.0,522.7404697080962,7557.898564681374,1071.1823631615375,522.7404697080962,4160.347262238409,7557.898564681374,-3397.5513024429656,-3397.5513024429656
5,1092.606010424768,5252.953272663177,4054.292646177856,1267.727797890701,0.980149500625,442.2735688492678,76.06366787344206,54.121608,118.52632152,0.0,538.8578304958257,8096.756395177201,1092.606010424768,538.8578304958257,5252.953272663177,8096.756395177201,-2843.803122514024,-2843.803122514024
6,1114.4581306332636,6367.411403296441,4034.0211829469667,1269.222206556667,0.975248753121875,455.23032583890875,76.15333239340002,55.20404016,120.8968479504,0.0,555.1778815559087,8651.934276733109,1114.4581306332636,555.1778815559087,6367.411403296441,8651.934276733109,-2284.5228734366683,-2284.5228734366683
7,1136.7472932459289,7504.158696542369,4013.8510770322328,1269.6378548514854,0.9703725093562656,468.30357354799406,76.17827129108912,56.308120963200004,123.314784909408,0.0,571.7482081295129,9223.682484862622,1136.7472932459289,571.7482081295129,7504.158696542369,9223.682484862622,-1719.5237883202526,-1719.5237883202526
8,1159.4822391108473,8663.640935653217,3993.7818216470714,1269.2180061619458,0.9655206468094842,481.53248871716073,76.15308036971675,57.434283382464,125.78108060759617,0.0,588.5947723375042,9812.277257200127,1159.4822391108473,588.5947723375042,8663.640935653217,9812.277257200127,-1148.63632154691,-1148.63632154691
9,1182.6718838930644,9846.312819546281,3973.812912538836,1268.1336537658678,0.9606930435754368,494.95845485907614,76.08801922595207,58.582969050113284,128.2967022197481,0.0,605.7501069029854,10418.027364103113,1182.6718838930644,605.7501069029854,9846.312819546281,10418.027364103113,-571.7145445568312,-571.7145445568312
10,1206.3253215709258,11052.638141117208,3953.9438479761416,1266.5173564663394,0.9558895783575596,508.59040806788045,75.99104138798036,59.754628431115556,130.86263626414305,0.0,623.2166313751587,11041.243995478271,1206.3253215709258,623.2166313751587,11052.638141117208,11041.243995478271,11.394145638936607,11.394145638936607
