Year,PV_Production_kWh,Load_kWh,Import_kWh,Export_kWh,Grid_Independence_%,Battery_SOH_%,Replacements,Replacement_Cost,PV_Degradation_Factor
1,4136.402297397087,4999.439251,2159.57611340025,1233.7042106829538,56.803633268105294,93.9610338018252,0,0.0,1.0
2,4115.720285910101,4999.439251,2195.785529910355,1251.1048002391728,56.07936371121725,90.63644051459822,0,0.0,0.995
3,4095.14168448055,4999.439251,2223.494979372425,1259.6906642001975,55.5251125628204,87.88635051042162,0,0.0,0.990025
4,4074.665976058148,4999.439251,2247.774812749922,1264.7732786645568,55.039461429593,85.45190960075944,0,0.0,0.985074875
5,4054.292646177856,4999.439251,2269.957853521215,1267.727797890701,54.59575085211461,83.22739670200988,0,0.0,0.980149500625
6,4034.0211829469667,4999.439251,2290.6451760067293,1269.222206556667,54.18195799561823,81.15666296453904,0,0.0,0.975248753121875
7,4013.8510770322328,4999.439251,2310.2231749230295,1269.6378548514854,53.79035409899353,79.20540971377096,0,0.0,0.9703725093562656
8,3993.7818216470714,4999.439251,2328.905607700077,1269.2180061619458,53.41666353413048,77.35077682632642,0,0.0,0.9655206468094842
9,3973.812912538836,4999.439251,2346.901529785316,1268.1336537658678,53.05670472311703,75.57657958819267,0,0.0,0.9606930435754368
10,3953.9438479761416,4999.439251,2364.253900684017,1266.5173564663394,52.70961837947898,73.87083235744892,0,0.0,0.9558895783575596
11,3934.1741287362606,4999.439251,2381.0865357496573,1264.4466153028823,52.37292791839832,72.2243486118104,0,0.0,0.9511101304657719
12,3914.5032580925795,4999.439251,2397.4978786810793,1261.9985380448843,52.04466424506457,70.62990751006599,0,0.0,0.946354579813443
13,3894.9307418021167,4999.439251,2273.471576487473,1113.9283546643876,54.52546851063891,95.55146599484924,1,2844.0,0.9416228069143757
14,3875.4560880931062,4999.439251,2223.6728077444523,1039.3083471367033,55.52155559646679,91.80442839774143,0,0.0,0.9369146928798039
15,3856.07880765264,4999.439251,2253.0107090748274,1050.8068685232379,54.93473175768313,88.88119034126647,0,0.0,0.9322301194154049
16,3836.7984136143773,4999.439251,2277.9598905910448,1057.7851717771864,54.435692160167726,86.34623930409585,0,0.0,0.9275689688183278
17,3817.6144215463055,4999.439251,2300.518608752205,1062.316912848437,53.9844671921546,84.05452760736011,0,0.0,0.9229311239742362
18,3798.526349438574,4999.439251,2321.408987289946,1065.2163550927578,53.5666127591087,81.9351792537017,0,0.0,0.918316468354365
19,3779.533717691381,4999.439251,2341.113017970043,1066.9303943207096,53.172487944487614,79.94696832242377,0,0.0,0.9137248860125932
20,3760.6360491029236,4999.439251,2359.857619943264,1067.7374782229933,52.797553856240185,78.06325495553045,0,0.0,0.9091562615825302
